country,gold,silver,bronze,city,year
Albania,0,0,2,Paris,2024
Algeria,2,0,1,Paris,2024
Argentina,1,1,1,Paris,2024
Armenia,0,3,1,Paris,2024
Australia,18,19,16,Paris,2024
Austria,2,0,3,Paris,2024
Azerbaijan,2,2,3,Paris,2024
Bahrain,2,1,1,Paris,2024
Belgium,3,1,6,Paris,2024
Botswana,1,1,0,Paris,2024
Brazil,3,7,10,Paris,2024
Bulgaria,3,1,3,Paris,2024
Cabo Verde,0,0,1,Paris,2024
Canada,9,7,11,Paris,2024
Chile,1,1,0,Paris,2024
Chinese Taipei,2,0,5,Paris,2024
Colombia,0,3,1,Paris,2024
Côte d'Ivoire,0,0,1,Paris,2024
Croatia,2,2,3,Paris,2024
Cuba,2,1,6,Paris,2024
Cyprus,0,1,0,Paris,2024
Czechia,3,0,2,Paris,2024
Democratic People's Republic of Korea,0,2,4,Paris,2024
Denmark,2,2,5,Paris,2024
Dominica,1,0,0,Paris,2024
Dominican Republic,1,0,2,Paris,2024
EOR,0,0,1,Paris,2024
Ecuador,1,2,2,Paris,2024
Egypt,1,1,1,Paris,2024
Ethiopia,1,3,0,Paris,2024
Fiji,0,1,0,Paris,2024
France,16,26,22,Paris,2024
Georgia,3,3,1,Paris,2024
Germany,12,13,8,Paris,2024
Great Britain,14,22,29,Paris,2024
Greece,1,1,6,Paris,2024
Grenada,0,0,2,Paris,2024
Guatemala,1,0,1,Paris,2024
"Hong Kong, China",2,0,2,Paris,2024
Hungary,6,7,6,Paris,2024
India,0,1,5,Paris,2024
Indonesia,2,0,1,Paris,2024
Ireland,4,0,3,Paris,2024
Islamic Republic of Iran,3,6,3,Paris,2024
Israel,1,5,1,Paris,2024
Italy,12,13,15,Paris,2024
Jamaica,1,3,2,Paris,2024
Japan,20,12,13,Paris,2024
Jordan,0,1,0,Paris,2024
Kazakhstan,1,3,3,Paris,2024
Kenya,4,2,5,Paris,2024
Kosovo,0,1,1,Paris,2024
Kyrgyzstan,0,2,4,Paris,2024
Lithuania,0,2,2,Paris,2024
Malaysia,0,0,2,Paris,2024
Mexico,0,3,2,Paris,2024
Mongolia,0,1,0,Paris,2024
Morocco,1,0,1,Paris,2024
Netherlands,15,7,12,Paris,2024
New Zealand,10,7,3,Paris,2024
Norway,4,1,3,Paris,2024
Pakistan,1,0,0,Paris,2024
Panama,0,1,0,Paris,2024
People's Republic of China,40,27,24,Paris,2024
Peru,0,0,1,Paris,2024
Philippines,2,0,2,Paris,2024
Poland,1,4,5,Paris,2024
Portugal,1,2,1,Paris,2024
Puerto Rico,0,0,2,Paris,2024
Qatar,0,0,1,Paris,2024
Republic of Korea,13,9,10,Paris,2024
Republic of Moldova,0,1,3,Paris,2024
Romania,3,4,2,Paris,2024
Saint Lucia,1,1,0,Paris,2024
Serbia,3,1,1,Paris,2024
Singapore,0,0,1,Paris,2024
Slovakia,0,0,1,Paris,2024
Slovenia,2,1,0,Paris,2024
South Africa,1,3,2,Paris,2024
Spain,5,4,9,Paris,2024
Sweden,4,4,3,Paris,2024
Switzerland,1,2,5,Paris,2024
Tajikistan,0,0,3,Paris,2024
Thailand,1,3,2,Paris,2024
Tunisia,1,1,1,Paris,2024
Türkiye,0,3,5,Paris,2024
Uganda,1,1,0,Paris,2024
Ukraine,3,5,4,Paris,2024
United States of America,40,44,42,Paris,2024
Uzbekistan,8,2,3,Paris,2024
Zambia,0,0,1,Paris,2024
Argentina,0,1,2,Tokyo,2020
Armenia,0,2,2,Tokyo,2020
Australia,17,7,22,Tokyo,2020
Austria,1,1,5,Tokyo,2020
Azerbaijan,0,3,4,Tokyo,2020
Bahamas,2,0,0,Tokyo,2020
Bahrain,0,1,0,Tokyo,2020
Belarus,1,3,3,Tokyo,2020
Belgium,3,1,3,Tokyo,2020
Bermuda,1,0,0,Tokyo,2020
Botswana,0,0,1,Tokyo,2020
Brazil,7,6,8,Tokyo,2020
Bulgaria,3,1,2,Tokyo,2020
Burkina Faso,0,0,1,Tokyo,2020
Canada,7,7,10,Tokyo,2020
Chinese Taipei,2,4,6,Tokyo,2020
Colombia,0,4,1,Tokyo,2020
Côte d'Ivoire,0,0,1,Tokyo,2020
Croatia,3,3,2,Tokyo,2020
Cuba,7,3,5,Tokyo,2020
Czechia,4,4,3,Tokyo,2020
Denmark,3,4,4,Tokyo,2020
Dominican Republic,0,3,2,Tokyo,2020
Ecuador,2,1,0,Tokyo,2020
Egypt,1,1,4,Tokyo,2020
Estonia,1,0,1,Tokyo,2020
Ethiopia,1,1,2,Tokyo,2020
Fiji,1,0,1,Tokyo,2020
Finland,0,0,2,Tokyo,2020
France,10,12,11,Tokyo,2020
Georgia,2,5,1,Tokyo,2020
Germany,10,11,16,Tokyo,2020
Ghana,0,0,1,Tokyo,2020
Great Britain,22,20,22,Tokyo,2020
Greece,2,1,1,Tokyo,2020
Grenada,0,0,1,Tokyo,2020
"Hong Kong, China",1,2,3,Tokyo,2020
Hungary,6,7,7,Tokyo,2020
India,1,2,4,Tokyo,2020
Indonesia,1,1,3,Tokyo,2020
Ireland,2,0,2,Tokyo,2020
Islamic Republic of Iran,3,2,2,Tokyo,2020
Israel,2,0,2,Tokyo,2020
Italy,10,10,20,Tokyo,2020
Jamaica,4,1,4,Tokyo,2020
Japan,27,14,17,Tokyo,2020
Jordan,0,1,1,Tokyo,2020
Kazakhstan,0,0,8,Tokyo,2020
Kenya,4,4,2,Tokyo,2020
Kosovo,2,0,0,Tokyo,2020
Kuwait,0,0,1,Tokyo,2020
Kyrgyzstan,0,2,1,Tokyo,2020
Latvia,1,0,1,Tokyo,2020
Lithuania,0,1,0,Tokyo,2020
Malaysia,0,1,1,Tokyo,2020
Mexico,0,0,4,Tokyo,2020
Mongolia,0,1,3,Tokyo,2020
Morocco,1,0,0,Tokyo,2020
Namibia,0,1,0,Tokyo,2020
Netherlands,10,12,14,Tokyo,2020
New Zealand,7,6,7,Tokyo,2020
Nigeria,0,1,1,Tokyo,2020
North Macedonia,0,1,0,Tokyo,2020
Norway,4,2,2,Tokyo,2020
People's Republic of China,38,32,19,Tokyo,2020
Philippines,1,2,1,Tokyo,2020
Poland,4,5,5,Tokyo,2020
